,cyto_diameter,name
Controle neg,87.46268656716418,Controle neg
Centromere,108.71052631578948,Centromere
Dot p80,109.23529411764706,Dot p80
Homogene,113.93895348837209,Homogene
NUMA1,116.54817275747509,NUMA1
MSA2,116.57386363636364,MSA2
Dot sp100,116.75627240143369,Dot sp100
mouchete TIF1,120.733410271206,mouchete TIF1
DFS70,121.6405610753945,DFS70
nucleole fibrillarine,124.7332817935833,nucleole fibrillarine
atypique pleomorphe heterogene,127.17558441558441,atypique pleomorphe heterogene
mouchete M0,128.96643878185208,mouchete M0
centrosome,132.45925925925926,centrosome
mouchete NXP2,132.63636363636363,mouchete NXP2
kinesine midbody,133.98275862068965,kinesine midbody
MCA perichromine,134.10357142857143,MCA perichromine
Cyto Fibreux,134.53773584905662,Cyto Fibreux
nucleole RNA pol I,135.4375,nucleole RNA pol I
Cyto atypique MDA5,135.66302225693087,Cyto atypique MDA5
mouchete fin,136.05844155844156,mouchete fin
nucleole ThTo,137.1161178509532,nucleole ThTo
Cyto Golgi,137.52608695652174,Cyto Golgi
pleomorphe PCNA,141.13752122241087,pleomorphe PCNA
Cyto atypique HMCOAR,141.5056461731493,Cyto atypique HMCOAR
Cyto Ponctue GW,143.42123983739836,Cyto Ponctue GW
Mouchete SSA,144.9630541871921,Mouchete SSA
NUMA2,145.1918976545842,NUMA2
Mou CytoD PL7,146.3658536585366,Mou CytoD PL7
Cyto APL,146.70700636942675,Cyto APL
mouchete SAE1,147.3426966292135,mouchete SAE1
mouchete dot RNP,148.50763358778627,mouchete dot RNP
atypique OPT,149.43544857768052,atypique OPT
CytoD PL7,149.7380352644836,CytoD PL7
Cyto Ponctue Somes,151.1873015873016,Cyto Ponctue Somes
kinesine,151.6639344262295,kinesine
mouchete RNApolIII,155.3386524822695,mouchete RNApolIII
MSA3,155.39772007599746,MSA3
Cyto Ponctue Jo1,156.92727272727274,Cyto Ponctue Jo1
Cyto granuleux,158.20967741935485,Cyto granuleux
centromere cytoD,158.78443113772454,centromere cytoD
CytoD PL12,160.89421487603306,CytoD PL12
CytoD SRP RiboP,166.9100529100529,CytoD SRP RiboP
vinculine,167.48809523809524,vinculine
KI67,168.95652173913044,KI67
Cyto filamenteux actine,178.00246913580247,Cyto filamenteux actine
Cyto filamenteux Vimentine,180.6816292601829,Cyto filamenteux Vimentine
CytoD EJ,184.4,CytoD EJ
