,nucleus_diameter,name
Mouchete SSA,58.7668202764977,Mouchete SSA
Controle neg,63.54248366013072,Controle neg
vinculine,67.43283582089552,vinculine
Homogene,67.78820375335121,Homogene
mouchete M0,69.43303760033798,mouchete M0
atypique pleomorphe heterogene,71.23264907135875,atypique pleomorphe heterogene
mouchete TIF1,71.29710432368108,mouchete TIF1
kinesine,71.58490566037736,kinesine
mouchete SAE1,71.77990430622009,mouchete SAE1
mouchete dot RNP,72.11146496815287,mouchete dot RNP
DFS70,72.3790650406504,DFS70
mouchete NXP2,72.58021712907117,mouchete NXP2
NUMA1,72.71370967741936,NUMA1
NUMA2,74.21005385996409,NUMA2
MSA2,74.99180327868852,MSA2
Dot sp100,75.25705329153605,Dot sp100
nucleole ThTo,75.71537290715374,nucleole ThTo
atypique OPT,76.35016835016835,atypique OPT
mouchete fin,76.55260663507109,mouchete fin
kinesine midbody,76.74248927038627,kinesine midbody
KI67,77.5619335347432,KI67
nucleole fibrillarine,77.6047714860592,nucleole fibrillarine
Dot p80,77.79220779220779,Dot p80
Cyto filamenteux actine,78.13921568627451,Cyto filamenteux actine
Cyto Ponctue Jo1,79.38040600176522,Cyto Ponctue Jo1
Cyto atypique MDA5,79.94867256637168,Cyto atypique MDA5
Centromere,80.225,Centromere
mouchete RNApolIII,80.74391394602755,mouchete RNApolIII
nucleole RNA pol I,81.09840425531915,nucleole RNA pol I
centrosome,81.25770308123249,centrosome
MSA3,82.66555555555556,MSA3
Cyto Fibreux,82.91970802919708,Cyto Fibreux
Cyto atypique HMCOAR,87.93849740003586,Cyto atypique HMCOAR
pleomorphe PCNA,88.2964705882353,pleomorphe PCNA
Cyto Golgi,89.79591836734694,Cyto Golgi
Cyto granuleux,90.17281105990783,Cyto granuleux
CytoD PL7,92.28993055555556,CytoD PL7
Cyto APL,93.24266666666666,Cyto APL
CytoD EJ,95.77049180327869,CytoD EJ
MCA perichromine,96.38488210818308,MCA perichromine
Mou CytoD PL7,97.43790849673202,Mou CytoD PL7
CytoD PL12,97.45174262734585,CytoD PL12
Cyto Ponctue Somes,99.97852474323062,Cyto Ponctue Somes
centromere cytoD,100.3862433862434,centromere cytoD
Cyto Ponctue GW,103.26803807184525,Cyto Ponctue GW
Cyto filamenteux Vimentine,107.0319829424307,Cyto filamenteux Vimentine
CytoD SRP RiboP,118.79304635761589,CytoD SRP RiboP
